region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
LATAM,2025-03-01,Onsite,Other,DM Network,Web+App,966.57183036462845
LATAM,2025-07-01,Onsite,Other,DM Network,Web+App,15.5992288146227
LATAM,2025-02-01,Offsite,Other,DM Network,Web+App,6090.5189119670058
LATAM,2025-03-01,Offsite,Other,DM Network,Web+App,5045.5233707510261
LATAM,2025-06-01,Onsite,Other,DM Network,Web+App,13.404779964999998
LATAM,2025-04-01,Offsite,Other,DM Network,Web+App,0.8615444690000007
NA,2025-06-01,Onsite,Other,DM Network,Web+App,2919.8449986695855
NA,2025-07-01,Onsite,Other,DM Network,Web+App,506.40547320214256
NA,2025-02-01,Offsite,Other,DM Network,Web+App,815.77870423476543
NA,2025-03-01,Onsite,Other,DM Network,Web+App,8461.4211475235861
NA,2025-06-01,Offsite,Other,DM Network,Web+App,217.25073984511744
NA,2025-03-01,Offsite,Other,DM Network,Web+App,1331.9630135618463
NA,2025-04-01,Onsite,Other,DM Network,Web+App,9448.76337242748
NA,2025-05-01,Onsite,Other,DM Network,Web+App,6522.0770564046488
NA,2025-02-01,Onsite,Other,DM Network,Web+App,18198.451185271075
NA,2025-07-01,Offsite,Other,DM Network,Web+App,68.125125092059051
NA,2025-05-01,Offsite,Other,DM Network,Web+App,903.6123711328006
NA,2025-04-01,Offsite,Other,DM Network,Web+App,1474.2163159848669
NA,2025-01-01,Offsite,Other,DM Network,Web+App,1333.3525570534259
NA,2025-01-01,Onsite,Other,DM Network,Web+App,28150.916617221847
,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.1371719738115926
,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,0.10200000635294149
,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.005596472
,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.11720485299999997
,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.15219322807401192
,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,0.006
,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.17295353
,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.034515029
,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,1.83738532128416
APAC,2025-07-01,Offsite,Sales Driven Direct,DM Network,Web+App,1025.7508040532755
APAC,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,30880.311022283422
APAC,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,79291.955496249037
APAC,2025-05-01,Audience Extension,Sales Driven Direct,DV360,Web+App,9068.7254997752061
APAC,2025-03-01,Audience Extension,Sales Driven Direct,DV360,Web+App,26572.703206951908
APAC,2025-04-01,Offsite,Sales Driven Direct,DM Network,Web+App,10063.615477936997
APAC,2025-02-01,Offsite,Sales Driven Direct,DM Network,Web+App,3069.5384000000122
APAC,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,62112.451468094543
APAC,2025-04-01,Audience Extension,Sales Driven Direct,Equativ Curator,Web+App,2714.3082369799886
APAC,2025-01-01,Offsite,Sales Driven Direct,DM Network,Web+App,356.20269999999988
APAC,2025-01-01,Onsite,Sales Driven Direct,DM Network,Web+App,4984.6624445999523
APAC,2025-01-01,Audience Extension,Sales Driven Direct,DV360,Web+App,5198.9957296933089
APAC,2025-07-01,Audience Extension,Sales Driven Direct,DV360,Web+App,6103.9224403129256
APAC,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,11116.645843508073
APAC,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,12940.356926282939
APAC,2025-04-01,Audience Extension,Sales Driven Direct,DV360,Web+App,14699.964265187313
APAC,2025-03-01,Offsite,Sales Driven Direct,DM Network,Web+App,4399.613403783861
APAC,2025-06-01,Audience Extension,Sales Driven Direct,DV360,Web+App,10930.36257947418
APAC,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,36209.13315084557
APAC,2025-06-01,Offsite,Sales Driven Direct,DM Network,Web+App,1325.1911381109931
APAC,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,41642.09635375662
